Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
311.0,Solo: A Star Wars Story ,392925000.0,Walt Disney Studios Motion Pictures,275000000.0,PG-13,135.0,Action Adventure Sci-Fi
312.0,The Wolf of Wall Street ,392001000.0,Paramount Pictures,100000000.0,R,180.0,Biography Crime Drama
313.0,Superman Returns ,391081000.0,Warner Bros.,270000000.0,PG-13,154.0,Action Sci-Fi
314.0,Robin Hood: Prince of Thieves ,390494000.0,Warner Bros.,48000000.0,,143.0,Action Adventure Drama Romance
315.0,Raiders of the Lost Ark ,390133000.0,Paramount Pictures,18000000.0,PG,115.0,Action Adventure
316.0,Independence Day: Resurgence ,389682000.0,Twentieth Century Fox,165000000.0,PG-13,120.0,Action Adventure Sci-Fi
317.0,Once Upon a Time... in Hollywood ,389082000.0,Sony Pictures Releasing,90000000.0,R,161.0,Comedy Drama
318.0,Back to the Future ,388355000.0,Universal Pictures,19000000.0,,116.0,Adventure Comedy Sci-Fi
319.0,Live Free or Die Hard ,388156000.0,Twentieth Century Fox,110000000.0,PG-13,128.0,Action Thriller
320.0,Monster Hunt ,387054000.0,FilmRise,,,117.0,Adventure Comedy Fantasy
321.0,Home ,386042000.0,Twentieth Century Fox,135000000.0,PG,94.0,Adventure Animation Comedy Family Fantasy Sci-Fi
322.0,Godzilla: King of the Monsters ,385900000.0,Warner Bros.,170000000.0,PG-13,132.0,Action Adventure Fantasy Sci-Fi
323.0,Star Trek ,385680000.0,Paramount Pictures,150000000.0,PG-13,127.0,Action Adventure Sci-Fi
324.0,Happy Feet ,384336000.0,Warner Bros.,100000000.0,PG,108.0,Adventure Animation Comedy Family Music Musical Romance
325.0,Cars 3 ,383931000.0,Walt Disney Studios Motion Pictures,,G,102.0,Adventure Animation Comedy Family Sport
326.0,Ice Age ,383257000.0,Twentieth Century Fox,59000000.0,PG,81.0,Adventure Animation Comedy Family Fantasy
327.0,Fifty Shades Darker ,381546000.0,Universal Pictures,55000000.0,R,118.0,Drama Romance
328.0,Monsters vs. Aliens ,381510000.0,DreamWorks,175000000.0,PG,94.0,Action Animation Comedy Family Sci-Fi Thriller
329.0,Godzilla ,379014000.0,Sony Pictures Releasing,130000000.0,PG-13,139.0,Action Sci-Fi Thriller
330.0,True Lies ,378882000.0,Twentieth Century Fox,115000000.0,R,141.0,Action Comedy Thriller
331.0,Slumdog Millionaire ,378061000.0,Fox Searchlight Pictures,15000000.0,R,120.0,Drama Romance
332.0,Taken 2 ,376141000.0,Twentieth Century Fox,45000000.0,PG-13,92.0,Action Thriller
333.0,G.I. Joe: Retaliation ,375741000.0,Paramount Pictures,130000000.0,PG-13,110.0,Action Adventure Sci-Fi Thriller
334.0,Spider-Man: Into the Spider-Verse ,375541000.0,Sony Pictures Releasing,90000000.0,PG,117.0,Action Adventure Animation Family Sci-Fi
335.0,Mad Max: Fury Road ,375209000.0,Warner Bros.,150000000.0,R,120.0,Action Adventure Sci-Fi Thriller
336.0,Shark Tale ,374584000.0,DreamWorks Distribution,75000000.0,PG,90.0,Adventure Animation Comedy Family Fantasy
337.0,What Women Want ,374112000.0,Paramount Pictures,70000000.0,PG-13,127.0,Comedy Fantasy Romance
338.0,The Adventures of Tintin ,373994000.0,Paramount Pictures,,PG,107.0,Action Adventure Animation Family Mystery
339.0,Penguins of Madagascar ,373516000.0,Twentieth Century Fox,132000000.0,PG,92.0,Adventure Animation Comedy Family Sci-Fi
340.0,Batman Begins ,373413000.0,Warner Bros.,150000000.0,PG-13,140.0,Action Adventure Fantasy Thriller
341.0,X-Men Origins: Wolverine ,373063000.0,Twentieth Century Fox,150000000.0,PG-13,107.0,Action Adventure Sci-Fi
342.0,The Golden Compass ,372235000.0,New Line Cinema,180000000.0,PG-13,113.0,Adventure Family Fantasy
343.0,Fifty Shades Freed ,371985000.0,Universal Pictures,55000000.0,R,105.0,Drama Romance Thriller
344.0,Hitch ,371594000.0,Sony Pictures Releasing,70000000.0,PG-13,118.0,Comedy Romance
345.0,Terminator Salvation ,371353000.0,Warner Bros.,200000000.0,PG-13,115.0,Action Sci-Fi
346.0,Captain America: The First Avenger ,370570000.0,Paramount Pictures,140000000.0,PG-13,124.0,Action Adventure Sci-Fi
347.0,Edge of Tomorrow ,370541000.0,Warner Bros.,178000000.0,PG-13,113.0,Action Sci-Fi
